13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,123,32,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,124,432,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,124,432,0,0,0,0,0,0,0,0,0,0
0,0,12,13,13,13,13,13,13,13,13,13,13,13,13,13,134,34,0,0,0,0,0,0,0,0,0,0
0,0,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,41,13,13,123,123,32,0,12,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,23,0,0
0,0,0,0,0,124,1234,432,0,124,134,134,134,134,134,134,134,134,134,134,134,134,134,134,134,234,0,0
0,0,0,0,0,41,341,341,13,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,13,13,13,13,13,13,13,34,0,0
0,0,0,0,0,0,0,0,12,123,13,13,13,13,13,13,13,43,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,124,234,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,124,234,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,124,234,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
